구분,삼성전기,삼성에스디에스,삼성바이오로직스,삼성SDI,제일기획
매출,"6,838,474","9,299,206","464,629","6,321,561","3,374,987"
계속영업손익(*),"161,739","530,348","(96,972)","657,236","127,153"
기타포괄손익(*),"(132,298)","(63,585)","(8,957)","27,870","(25,115)"
총포괄손익(*),"29,441","466,763","(105,929)","685,106","102,038"
