과 목,주석,제 47 (당) 기,,제 46 (전) 기,
Ⅰ. 당기순이익,,,"12,238,469",,"14,591,781"
Ⅱ. 기타포괄손익,,,"(401,296)",,"(1,026,468)"
후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,"225,048",,"(572,373)"
1. 순확정급여자산 재측정요소,"17, 23","225,048",,"(572,373)",
후속적으로 당기손익으로 재분류되는 포괄손익,,,"(626,344)",,"(454,095)"
1. 매도가능금융자산평가손익,"9, 23","(626,344)",,"(454,095)",
Ⅲ. 총포괄이익,,,"11,837,173",,"13,565,313"
