구 분,기준서 제1115호채택 전 금액,조 정,기준서 제1115호조정 후 금액
매출,"170,370,882","10,988","170,381,870"
매출원가,"101,655,518","10,988","101,666,506"
매출총이익,"68,715,364",-,"68,715,364"
영업이익,"43,699,451",-,"43,699,451"
법인세비용,"11,583,728",-,"11,583,728"
당기순이익,"32,815,127",-,"32,815,127"
당기총포괄이익,"32,436,806",-,"32,436,806"
