구분,삼성카드,삼성전기,삼성에스디에스
수익(매출),"3,274,150","6,704,699","7,853,459"
계속영업손익(*),"333,724","11,188","439,020"
기타포괄손익(*),"86,666","(176,581)","70,670"
총포괄손익(*),"420,390","(165,393)","509,690"
