구 분,당기,전기
보통주 희석순이익,"12,671,474","15,568,070"
÷ 가중평균된 유통보통주식수와 희석성 잠재적보통주의 합산 주식수,"130,933","130,911"
희석 보통주 주당이익(단위: 원),"96,779","118,921"
