구 분,당기,전기
당기순이익,"25,397,099","25,418,778"
당기순이익 중 보통주 해당분,"22,319,686","22,338,739"
÷ 가중평균유통보통주식수(천주),"5,969,783","5,969,783"
기본 보통주 주당이익(원),"3,739","3,742"
