구 분,공정가치,가치평가기법,Level 3 투입변수,투입변수 범위(가중평균)
말타니,"12,358",현금흐름할인법,영구성장률,-1.00%~1.00%(0%)
가중평균자본비용,7.75%~9.75%(8.75%),,,
삼성벤처투자,"7,313",현금흐름할인법,영구성장률,-1.00%~1.00%(0%)
가중평균자본비용,20.78%~22.78%(21.78%),,,
