기 업 명,당기말,,,,전기말
보유주식수(주),지분율(%)(*),취득원가,장부금액(시장가치),장부금액(시장가치),
삼성중공업㈜,"134,027,281",15.2,"932,158","1,038,712","684,879"
㈜호텔신라,"2,004,717",5.1,"13,957","131,108","166,592"
㈜아이마켓코리아,"647,320",1.9,324,"5,560","6,538"
㈜케이티스카이라이프,"240,000",0.5,"3,344","1,421","1,954"
㈜용평리조트,"400,000",0.8,"1,869","1,220","1,412"
㈜에이테크솔루션,"1,592,000",15.9,"26,348","17,241","12,879"
㈜원익홀딩스,"1,759,171",2.3,"15,410","5,928","5,972"
㈜원익아이피에스,"1,850,936",3.8,"16,214","62,839","45,811"
㈜동진쎄미켐,"2,467,894",4.8,"48,277","95,508","73,913"
솔브레인홀딩스㈜,-,-,-,-,"10,989"
솔브레인㈜,"437,339",5.6,"40,382","132,952","81,357"
㈜에스앤에스텍,"1,716,116",8.0,"65,933","77,740","45,220"
와이아이케이㈜,"9,601,617",11.7,"47,336","47,864","26,933"
㈜케이씨텍,"1,022,216",4.9,"20,720","27,395","15,129"
㈜엘오티베큠,"1,267,668",7.1,"18,990","25,544","14,326"
㈜뉴파워프라즈마,"2,140,939",4.9,"12,739","11,240","7,579"
㈜에프에스티,"1,522,975",7.0,"43,009","37,541","23,758"
㈜디엔에프,"810,030",7.0,"20,964","19,400","10,692"
Marvell Technology. Inc.,"173,187",0.0,"11,705","13,468","8,129"
"SoundHound AI, Inc.","1,702,957",0.7,"13,719","4,655","3,820"
계,,,"1,353,398","1,757,336","1,247,882"
