구 분,당기말,전기말
연체되지 않은 채권,"22,129,307","21,555,813"
소 계,"22,129,307","21,555,813"
연체되었으나 손상되지 않은 채권(*1) :,,
31일 이하,"254,760","249,487"
소 계,"254,760","249,487"
손상채권(*2) :,,
31일 초과 90일 이하,"204,437","167,546"
90일 초과,"381,536","399,797"
소 계,"585,973","567,343"
계,"22,970,040","22,372,643"
