구 분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부금액,"7,881,222","26,564,296","69,492,787","34,675,331","1,965,525","140,579,161"
- 취득원가,"7,883,620","41,814,348","228,287,817","34,675,331","5,182,709","317,843,825"
- 감가상각누계액(손상 포함),"(2,398)","(15,250,052)","(158,795,030)",-,"(3,217,184)","(177,264,664)"
일반취득 및 자본적지출(*),"181,295","4,756,975","38,411,587","(3,208,214)","1,228,769","41,370,412"
감가상각,"(2,340)","(2,464,085)","(27,213,533)",-,"(605,340)","(30,285,298)"
처분ㆍ폐기,"(17,239)","(114,033)","(26,089)",-,"(7,971)","(165,332)"
손상,-,(199),"(3,624)",-,(942),"(4,765)"
기타,915,"(12,620)","165,845",(205),"(201,243)","(47,308)"
기말장부금액,"8,043,853","28,730,334","80,826,973","31,466,912","2,378,798","151,446,870"
- 취득원가,"8,048,086","46,332,683","264,285,218","31,466,912","5,691,097","355,823,996"
- 감가상각누계액(손상 포함),"(4,233)","(17,602,349)","(183,458,245)",-,"(3,312,299)","(204,377,126)"
