과 목,주석,제 47 (당) 기,,제 46 (전) 기,
자 산,,,,,
Ⅰ. 유 동 자 산,,,"67,002,055",,"62,054,773"
1. 현금및현금성자산,"4, 6, 7","3,062,960",,"1,643,318",
2. 단기금융상품,"5, 6, 7","27,763,589",,"26,454,093",
3. 단기매도가능금융자산,"6, 9","3,021,210",,"2,137,533",
4. 매출채권,"6, 7, 10","20,251,464",,"18,940,786",
5. 미수금,"6, 10","2,314,823",,"3,218,973",
6. 선급금,,"1,105,216",,"977,114",
7. 선급비용,,"1,980,305",,"1,846,360",
8. 재고자산,11,"6,578,112",,"5,553,834",
9. 기타유동자산,,"847,303",,"821,079",
10. 매각예정분류자산,34,"77,073",,"461,683",
Ⅱ. 비 유 동 자 산,,,"101,967,575",,"102,005,810"
1. 장기매도가능금융자산,"6, 9","3,205,283",,"7,106,234",
"2. 종속기업, 관계기업 및 공동기업 투자",12,"44,107,398",,"41,857,431",
3. 유형자산,13,"45,148,629",,"43,744,259",
4. 무형자산,14,"3,407,229",,"3,051,564",
5. 장기선급비용,,"3,845,119",,"4,415,935",
6. 순확정급여자산,17,"56,174",,"135,951",
7. 이연법인세자산,29,"865,903",,-,
8. 기타비유동자산,,"1,331,840",,"1,694,436",
자 산 총 계,,,"168,969,630",,"164,060,583"
부 채,,,,,
Ⅰ. 유 동 부 채,,,"29,630,488",,"28,208,638"
1. 매입채무,6,"3,887,983",,"4,677,527",
2. 단기차입금,"6, 8, 15","7,127,527",,"2,928,182",
3. 미지급금,6,"5,952,236",,"6,460,166",
4. 선수금,,"160,990",,"139,803",
5. 예수금,,"341,806",,"596,164",
6. 미지급비용,,"6,126,350",,"7,413,148",
7. 미지급법인세,,"1,802,344",,"1,707,176",
8. 유동성장기부채,"6, 16","5,666",,"5,304",
9. 충당부채,18,"4,207,745",,"4,246,054",
10. 기타유동부채,,"17,841",,"14,855",
11. 매각예정분류부채,34,-,,"20,259",
Ⅱ. 비 유 동 부 채,,,"2,910,887",,"3,174,870"
1. 사채,"6, 16","62,326",,"63,648",
2. 장기미지급금,6,"2,387,934",,"2,305,055",
3. 이연법인세부채,29,-,,"364,366",
4. 장기충당부채,18,"457,290",,"437,974",
5. 기타비유동부채,,"3,337",,"3,827",
부 채 총 계,,,"32,541,375",,"31,383,508"
자 본,,,,,
Ⅰ. 자본금,20,,"897,514",,"897,514"
1. 우선주자본금,,"119,467",,"119,467",
2. 보통주자본금,,"778,047",,"778,047",
Ⅱ. 주식발행초과금,,,"4,403,893",,"4,403,893"
Ⅲ. 이익잉여금,21,,"143,629,177",,"134,464,189"
Ⅳ. 기타자본항목,23,,"(12,526,126)",,"(7,113,271)"
Ⅴ. 매각예정분류기타자본항목,34,,"23,797",,"24,750"
자 본 총 계,,,"136,428,255",,"132,677,075"
부채와자본총계,,,"168,969,630",,"164,060,583"
