금융자산,상각후원가측정 금융자산,기타포괄손익-공정가치 측정 금융자산,당기손익-공정가치측정 금융자산,계
평가손익(기타포괄손익),-,"73,199",-,"73,199"
평가/처분손익(당기손익),-,-,"3,130","3,130"
이자수익,"777,225",-,-,"777,225"
외환차이(당기손익),"(188,482)",-,-,"(188,482)"
배당금수익,-,"2,414",140,"2,554"
손상/환입(당기손익),"232,192",-,-,"232,192"
