구 분,기초,재무현금흐름,비현금흐름,,기말
리스신규계약,기타(*),,,,
단기차입금,"10,228,216","2,326,350",-,"(34,199)","12,520,367"
사채 및 장기차입금,"368,113","(134,443)","61,789","(25,582)","269,877"
계,"10,596,329","2,191,907","61,789","(59,781)","12,790,244"
