구 분,,당기,전기
배당받은주식,보통주,"130,962,651주","130,878,713주"
우선주,"19,853,734주","19,853,734주",
배 당 률,,10%,10%
배 당 금 액 (백만원),보통주,"65,481","65,439"
우선주,"9,927","9,927",
계,"75,408","75,366",
