과 목,주 석,제 56 (당) 기,,제 55 (전) 기,
Ⅰ. 당기순이익,,,"23,582,565",,"25,397,099"
Ⅱ. 기타포괄손익,,,"(352,470)",,"(216,079)"
후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,"(352,470)",,"(216,079)"
1. 기타포괄손익-공정가치금융자산평가손익,"6, 20","239,784",,"356,472",
2. 순확정급여부채(자산) 재측정요소,"14, 20","(592,254)",,"(572,551)",
후속적으로 당기손익으로 재분류되는 포괄손익,,,-,,-
Ⅲ. 총포괄손익,,,"23,230,095",,"25,181,020"
