감사참여자 ＼ 인원수 및 시간,,품질관리검토자(심리실 등),,감사업무 담당 회계사,,,,,,전산감사ㆍ세무ㆍ가치평가 등 전문가,,건설계약 등수주산업전문가,,합계,
담당이사(업무수행이사),,등록공인회계사,,수습공인회계사,,,,,,,,,,,
당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,,
투입 인원수,,2,2,1,1,38,39,17,12,56,52,-,-,114,106
투입시간,분ㆍ반기검토,35,30,436,225,"12,627","15,109","4,304","4,163","5,536","5,298",-,-,"22,938","24,825"
감사,76,118,474,209,"10,061","11,935","3,521","1,897","6,929","4,944",-,-,"21,061","19,103",
합계,111,148,910,434,"22,688","27,044","7,825","6,060","12,465","10,242",-,-,"43,999","43,928",
