과 목,주석,제 47 (당) 기,,제 46 (전) 기,
Ⅰ. 매 출 액,,,"135,205,045",,"137,825,547"
Ⅱ. 매 출 원 가,25,,"99,659,336",,"99,188,713"
Ⅲ. 매 출 총 이 익,,,"35,545,709",,"38,636,834"
판매비와관리비,"25, 26","22,147,494",,"24,711,840",
Ⅳ. 영 업 이 익,,,"13,398,215",,"13,924,994"
기 타 수 익,27,"1,543,190",,"3,507,303",
기 타 비 용,27,"792,058",,"706,929",
금 융 수 익,28,"4,917,385",,"4,289,118",
금 융 비 용,28,"4,714,115",,"3,733,845",
Ⅴ. 법인세비용차감전순이익,,,"14,352,617",,"17,280,641"
법 인 세 비 용,29,"2,114,148",,"2,688,860",
Ⅵ. 당 기 순 이 익,,,"12,238,469",,"14,591,781"
Ⅶ. 주 당 이 익,30,,,,
기본주당이익(단위:원),,,"82,682",,"96,784"
희석주당이익(단위:원),,,"82,680",,"96,779"
