구 분,당기말,전기말
12개월 이내에 결제될 이연법인세자산(부채),"1,380,678","935,016"
12개월 이후에 결제될 이연법인세자산(부채),"(514,775)","(1,299,382)"
계,"865,903","(364,366)"
