구 분,발행일,만기상환일,연이자율(%),금 액,
당기말,당기말,전기말,,,
US$ denominated Straight Bonds,1997.10.2,2027.10.1,7.7,"71,448(US$ 65,000천)","73,871(US$ 70,000천)"
1년이내 만기도래분,,,,"(5,496)","(5,277)"
사채할인발행차금,,,,"(2,304)","(2,515)"
계,,,,"63,648","66,079"
