과 목,주 석,제 55 (당) 기,,제 54 (전) 기,
Ⅰ. 당기순이익,,,"25,397,099",,"25,418,778"
Ⅱ. 기타포괄손익,,,"(216,079)",,"613,118"
후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,"(216,079)",,"613,118"
1. 기타포괄손익-공정가치금융자산평가손익,"6, 20","356,472",,"(208,883)",
2. 순확정급여부채(자산) 재측정요소,"14, 20","(572,551)",,"822,001",
후속적으로 당기손익으로 재분류되는 포괄손익,,,-,,-
Ⅲ. 총포괄손익,,,"25,181,020",,"26,031,896"
