과 목,주 석,제 54 (당) 기,,제 53 (전) 기,
Ⅰ. 매 출 액,29,,"211,867,483",,"199,744,705"
Ⅱ. 매 출 원 가,21,,"152,589,393",,"135,823,433"
Ⅲ. 매 출 총 이 익,,,"59,278,090",,"63,921,272"
판매비와관리비,"21, 22","33,958,761",,"31,928,110",
Ⅳ. 영 업 이 익,29,,"25,319,329",,"31,993,162"
기 타 수 익,23,"4,576,378",,"7,359,004",
기 타 비 용,23,"296,344",,"745,978",
금 융 수 익,24,"9,734,299",,"3,796,979",
금 융 비 용,24,"9,641,742",,"3,698,675",
Ⅴ. 법인세비용차감전순이익,,,"29,691,920",,"38,704,492"
법 인 세 비 용,25,"4,273,142",,"7,733,538",
Ⅵ. 당 기 순 이 익,,,"25,418,778",,"30,970,954"
Ⅶ. 주 당 이 익,26,,,,
기본주당이익(단위 : 원),,,"3,742",,"4,559"
희석주당이익(단위 : 원),,,"3,742",,"4,559"
