구 분,내 역,,,,,,,,
전반감사계획(감사착수단계),수행시기,2018.05.16 ~ 09.042019.01.02 ~ 01.16,,,,,48,일,
주요내용,"감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정",,,,,,,,
현장감사주요내용,수행시기,,,투입인원,,,,주요 감사업무 수행내용,
상주,,비상주,,,,,,,
2018.10.10 ~ 10.262018.12.10 ~ 12.21,23,일,37,명,12,명,시스템 및 내부통제감사,,
2018.12.10 ~ 12.28,15,일,50,명,10,명,조기입증감사,,
2019.01.07 ~ 01.25,15,일,60,명,14,명,조회확인 등 입증절차 업데이트,,
2019.01.26 ~ 02.27,33,일,41,명,16,명,재무제표검증 및 감사종결절차 수행,,
재고자산실사(입회),실사(입회)시기,2018.11.30 / 2018.12.03 / 2018.12.04,,,,,3,일,
실사(입회)장소,"수원, 기흥, 구미, 광주사업장 등",,,,,,,,
실사(입회)대상,"원재료, 재공품, 제품 등",,,,,,,,
금융자산실사(입회),실사(입회)시기,2019.01.03 / 2019.01.04,,,,,2,일,
실사(입회)장소,"태평로, 기흥사업장 등",,,,,,,,
실사(입회)대상,"현금, 유가증권 등",,,,,,,,
외부조회,금융거래조회,O,,채권채무조회,,,O,변호사조회,O
기타조회,타처보관재고자산,,,,,,,,
지배기구와의커뮤니케이션,커뮤니케이션 횟수,4,,회,,,,,
수행시기,2018.04.25 / 2018.07.30 / 2018.10.30 / 2019.01.30,,,,,,,,
외부전문가 활용,감사 활용 내용,해당사항없음,,,,,,,
수행시기,-,,,,,-,일,,
