과 목,주 석,제 56 (당) 기,,제 55 (전) 기,
Ⅰ. 매 출 액,29,,"209,052,241",,"170,374,090"
Ⅱ. 매 출 원 가,21,,"152,061,472",,"144,023,552"
Ⅲ. 매 출 총 이 익,,,"56,990,769",,"26,350,538"
판매비와관리비,"21, 22","44,629,735",,"37,876,835",
Ⅳ. 영 업 이 익 (손 실),29,,"12,361,034",,"(11,526,297)"
기 타 수 익,23,"10,351,185",,"29,643,315",
기 타 비 용,23,"540,542",,"375,723",
금 융 수 익,24,"7,717,689",,"7,388,664",
금 융 비 용,24,"8,139,788",,"7,598,459",
Ⅴ. 법인세비용차감전순이익,,,"21,749,578",,"17,531,500"
법 인 세 비 용(수 익),25,"(1,832,987)",,"(7,865,599)",
Ⅵ. 당 기 순 이 익,,,"23,582,565",,"25,397,099"
Ⅶ. 주 당 이 익,26,,,,
기본주당이익(단위 : 원),,,"3,472",,"3,739"
희석주당이익(단위 : 원),,,"3,472",,"3,739"
