구 분,당기말,,,전기말,,
평가전금액,평가충당금,장부금액,평가전금액,평가충당금,장부금액,
제품 및 상품,"7,914,117","(1,203,662)","6,710,455","8,589,879","(956,427)","7,633,452"
반제품 및 재공품,"21,866,523","(3,863,881)","18,002,642","16,738,121","(1,216,059)","15,522,062"
원재료 및 저장품,"4,910,170","(861,821)","4,048,349","4,891,951","(492,006)","4,399,945"
미착품,"576,705",-,"576,705","434,548",-,"434,548"
계,"35,267,515","(5,929,364)","29,338,151","30,654,499","(2,664,492)","27,990,007"
