내 역,금액,
당기말,전기말,
임대주택 관련 채무보증(*),"13,071","21,444"
해외종속기업에 대한 채무보증(한도 기준),"US$ 9,440(원화환산액: \10,376,805)","US$ 11,469(원화환산액: \12,103,325)"
해외종속기업에 대한 채무보증(실차입금 기준),"US$ 2,152 (원화환산액: \2,365,868)","US$ 4,264(원화환산액: \4,500,104)"
