구분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부금액,"7,832,889","14,447,291","30,616,157","9,139,495","781,129","62,816,961"
- 취득원가,"7,832,889","20,818,067","105,582,797","9,139,495","1,840,581","145,213,829"
- 감가상각누계액 (손상차손누계액 포함),-,"(6,370,776)","(74,966,640)",-,"(1,059,452)","(82,396,868)"
일반취득 및 자본적지출,"7,620","2,040,029","21,367,408","(2,628,326)","1,083,811","21,870,542"
감가상각,-,"(1,070,122)","(12,404,644)",-,"(365,031)","(13,839,797)"
처분/폐기,"(15,328)","(16,213)","(73,380)",-,"(3,393)","(108,314)"
기타,(4),"(27,570)","24,245","(130,956)","(2,614)","(136,899)"
기말장부금액,"7,825,177","15,373,415","39,529,786","6,380,213","1,493,902","70,602,493"
- 취득원가,"7,825,177","22,801,947","122,746,311","6,380,213","2,821,585","162,575,233"
- 감가상각누계액 (손상차손누계액 포함),-,"(7,428,532)","(83,216,525)",-,"(1,327,683)","(91,972,740)"
