구 분,DX 부문,DS 부문,계(*)
매출액,"107,675,342","94,373,136","199,744,705"
감가상각비,"537,479","19,457,650","20,164,109"
무형자산상각비,"1,382,922","891,431","2,391,770"
영업이익,"6,389,720","25,592,201","31,993,162"
