구 분,당기말,,,전기말,,
평가전금액,평가충당금,장부금액,평가전금액,평가충당금,장부금액,
제품 및 상품,"6,374,009","(774,903)","5,599,106","7,914,117","(1,203,662)","6,710,455"
반제품 및 재공품,"20,944,352","(1,802,857)","19,141,495","21,866,523","(3,863,881)","18,002,642"
원재료 및 저장품,"4,561,944","(552,073)","4,009,871","4,910,170","(861,821)","4,048,349"
미착품,"403,643",-,"403,643","576,705",-,"576,705"
계,"32,283,948","(3,129,833)","29,154,115","35,267,515","(5,929,364)","29,338,151"
