과 목,주 석,제 55 (당) 기,,제 54 (전) 기,
Ⅰ. 매 출 액,29,,"170,374,090",,"211,867,483"
Ⅱ. 매 출 원 가,21,,"144,023,552",,"152,589,393"
Ⅲ. 매 출 총 이 익,,,"26,350,538",,"59,278,090"
판매비와관리비,"21, 22","37,876,835",,"33,958,761",
Ⅳ. 영 업 이 익 (손 실),29,,"(11,526,297)",,"25,319,329"
기 타 수 익,23,"29,643,315",,"4,576,378",
기 타 비 용,23,"375,723",,"296,344",
금 융 수 익,24,"7,388,664",,"9,734,299",
금 융 비 용,24,"7,598,459",,"9,641,742",
Ⅴ. 법인세비용차감전순이익,,,"17,531,500",,"29,691,920"
법 인 세 비 용(수 익),25,"(7,865,599)",,"4,273,142",
Ⅵ. 당 기 순 이 익,,,"25,397,099",,"25,418,778"
Ⅶ. 주 당 이 익,26,,,,
기본주당이익(단위 : 원),,,"3,739",,"3,742"
희석주당이익(단위 : 원),,,"3,739",,"3,742"
