구 분,당기말,전기말
기타포괄손익-공정가치금융자산평가손익,"97,244","22,759"
순확정급여자산 재측정요소,"(1,577,138)","(651,981)"
기타,"1,760,408","1,760,408"
계,"280,514","1,131,186"
