기업명,전기말,,,
보유주식수(주),지분율(%),취득원가,장부가액(*),
기협기술금융,"1,000,000",17.2,"5,000","5,000"
삼성벤처투자,"980,000",16.3,"4,900","7,784"
말타니(구 태원전기산업),"45,000",15.0,"16,544","15,137"
기타,,,"141,376","71,753"
계,,,"167,820","99,674"
