금융자산,상각후원가측정 금융자산,기타포괄손익-공정가치 측정 금융자산,당기손익-공정가치측정 금융자산,계
평가손익(기타포괄손익),-,"(208,883)",-,"(208,883)"
평가ㆍ처분손익(당기손익),-,-,"271,057","271,057"
이자수익,"339,242",-,-,"339,242"
외환차이(당기손익),"(668,955)",,-,"(668,955)"
배당금수익,-,"3,594",-,"3,594"
손상(환입),"(2,130)",-,-,"(2,130)"
