과 목,주석,제 49 (당) 기,,제 48 (전) 기,
Ⅰ. 매 출 액,,,"161,915,007",,"133,947,204"
Ⅱ. 매 출 원 가,24,,"101,399,657",,"97,290,644"
Ⅲ. 매 출 총 이 익,,,"60,515,350",,"36,656,560"
판매비와관리비,"24, 25","25,658,259",,"23,009,124",
Ⅳ. 영 업 이 익,,,"34,857,091",,"13,647,436"
기 타 수 익,26,"2,767,967",,"2,185,600",
기 타 비 용,26,"1,065,014",,"1,289,594",
금 융 수 익,27,"4,075,602",,"5,803,751",
금 융 비 용,27,"4,102,094",,"5,622,119",
Ⅴ. 법인세비용차감전순이익,,,"36,533,552",,"14,725,074"
법 인 세 비 용,28,"7,732,715",,"3,145,325",
Ⅵ. 당 기 순 이 익,,,"28,800,837",,"11,579,749"
Ⅶ. 주 당 이 익,29,,,,
기본주당이익(단위:원),,,"208,881",,"81,602"
희석주당이익(단위:원),,,"208,881",,"81,602"
