감사참여자 ＼ 인원수 및 시간,,품질관리검토자(심리실 등),,감사업무 담당 회계사,,,,,,전산감사ㆍ세무ㆍ가치평가 등 전문가,,건설계약 등수주산업전문가,,합계,
담당이사(업무수행이사),,등록공인회계사,,수습공인회계사,,,,,,,,,,,
당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,당기,전기,,
투입 인원수,,10,16,1,1,38,52,17,23,65,83,-,-,131,175
투입시간,분ㆍ반기검토,99,156,307,198,"15,802","22,167","2,830","4,024","3,337","5,604",-,-,"22,375","32,149"
감사,412,"1,262","1,025","1,084","26,093","25,024","8,943","5,018","18,151","21,591",-,-,"54,624","53,979",
합계,511,"1,418","1,332","1,282","41,895","47,191","11,773","9,042","21,488","27,195",-,-,"76,999","86,128",
