구 분,당기,전기
법인세비용차감전순이익,"17,280,641","24,217,259"
적용세율에 따른 법인세비용(*),"4,181,915","5,860,577"
조정사항,,
비과세수익,"(42,082)","(21,325)"
비공제비용,"259,037","69,868"
세액공제,"(1,777,805)","(1,908,635)"
기타,"67,795","2,287,254"
법인세비용,"2,688,860","6,287,739"
