구 분,판매보증 (가),기술사용료 (나),장기성과급 (다),"기타충당부채(라),(마)",계
기초,"181,342","1,493,290","624,933","234,619","2,534,184"
순전입액(환입액),"277,882","738,148","439,942","140,039","1,596,011"
사용액,"(270,891)","(429,776)","(487,695)","(255,950)","(1,444,312)"
기타(*),-,"(138,233)",-,"105,239","(32,994)"
기말,"188,333","1,663,429","577,180","223,947","2,652,889"
