구 분,차입처,만기일,연이자율(%),금 액,
당기말,당기말,전기말,,,
단기차입금:,,,,,
담보부차입금(*1),우리은행 등,-,0.4 ~ 14.9,"11,110,972","5,625,163"
유동성장기차입금:,,,,,
리스부채(*2),-,-,3.0,"266,961","222,137"
무담보차입금,삼성디스플레이㈜,2025.08.16,4.6,"21,990,000",-
계,,,,"22,256,961","222,137"
장기차입금:,,,,,
리스부채(*2),-,-,3.0,"795,703","912,035"
무담보차입금,-,-,-,-,"21,990,000"
계,,,,"795,703","22,902,035"
