과 목,주석,제 56 (당) 기,,제 55 (전) 기,
자 산,,,,,
Ⅰ. 유 동 자 산,,,"82,320,322",,"68,548,442"
1. 현금및현금성자산,"4, 28","1,653,766",,"6,061,451",
2. 단기금융상품,"4, 28","10,187,991",,"50,071",
3. 매출채권,"4, 5, 7, 28","33,840,357",,"27,363,016",
4. 미수금,"4, 7, 28","3,249,731",,"1,910,054",
5. 선급비용,,"1,381,781",,"1,349,755",
6. 재고자산,8,"29,154,115",,"29,338,151",
7. 기타유동자산,"4, 28","2,852,581",,"2,475,944",
Ⅱ. 비 유 동 자 산,,,"242,645,805",,"228,308,847"
1. 기타포괄손익-공정가치금융자산,"4, 6, 28","2,176,346",,"1,854,503",
2. 당기손익-공정가치금융자산,"4, 6, 28",-,,1,
"3. 종속기업, 관계기업 및 공동기업 투자",9,"57,427,196",,"57,392,438",
4. 유형자산,10,"151,446,870",,"140,579,161",
5. 무형자산,11,"10,496,956",,"10,440,211",
6. 순확정급여자산,14,"2,249,792",,"3,745,697",
7. 이연법인세자산,25,"14,333,432",,"9,931,358",
8. 기타비유동자산,"4, 7, 28","4,515,213",,"4,365,478",
자 산 총 계,,,"324,966,127",,"296,857,289"
부 채,,,,,
Ⅰ. 유 동 부 채,,,"80,157,976",,"41,775,101"
1. 매입채무,"4, 28","10,287,967",,"7,943,834",
2. 단기차입금,"4, 5, 12, 28","11,110,972",,"5,625,163",
3. 미지급금,"4, 28","18,591,524",,"15,256,046",
4. 선수금,17,"350,448",,"302,589",
5. 예수금,"4, 28","516,454",,"445,470",
6. 미지급비용,"4, 17, 28","9,039,886",,"6,931,991",
7. 당기법인세부채,,"1,380,469",,-,
8. 유동성장기부채,"4, 12, 13, 28","22,264,226",,"228,491",
9. 충당부채,15,"6,257,389",,"4,540,702",
10. 기타유동부채,17,"358,641",,"500,815",
Ⅱ. 비 유 동 부 채,,,"8,411,494",,"30,294,414"
1. 사채,"4, 13, 28","14,530",,"19,064",
2. 장기차입금,"4, 12, 28","795,703",,"22,902,035",
3. 장기미지급금,"4, 28","4,965,481",,"4,942,826",
4. 장기충당부채,15,"2,602,575",,"2,413,133",
5. 기타비유동부채,,"33,205",,"17,356",
부 채 총 계,,,"88,569,470",,"72,069,515"
자 본,,,,,
Ⅰ. 자본금,18,,"897,514",,"897,514"
1. 우선주자본금,,"119,467",,"119,467",
2. 보통주자본금,,"778,047",,"778,047",
Ⅱ. 주식발행초과금,,,"4,403,893",,"4,403,893"
Ⅲ. 이익잉여금,19,,"233,734,316",,"219,963,351"
Ⅳ. 기타자본항목,20,,"(2,639,066)",,"(476,984)"
자 본 총 계,,,"236,396,657",,"224,787,774"
부 채 와 자 본 총 계,,,"324,966,127",,"296,857,289"
