과 목,주 석,제 51 (당) 기,,제 50 (전) 기,
자 산,,,,,
Ⅰ. 유 동 자 산,,,"72,659,080",,"80,039,455"
1. 현금및현금성자산,"4, 6, 30","2,081,917",,"2,607,957",
2. 단기금융상품,"5, 6, 30","26,501,392",,"34,113,871",
3. 매출채권,"6, 7, 9, 30","26,255,438",,"24,933,267",
4. 미수금,"6, 9","2,406,795",,"1,515,079",
5. 선급금,,"908,288",,"807,262",
6. 선급비용,,"813,651",,"2,230,628",
7. 재고자산,10,"12,201,712",,"12,440,951",
8. 기타유동자산,6,"1,489,887",,"1,390,440",
Ⅱ. 비 유 동 자 산,,,"143,521,840",,"138,981,902"
1. 기타포괄손익-공정가치금융자산,"6, 8, 30","1,206,080",,"1,098,565",
2. 당기손익-공정가치금융자산,"6, 8, 30","3,181",,"7,413",
"3. 종속기업, 관계기업 및 공동기업 투자",11,"56,571,252",,"55,959,745",
4. 유형자산,12,"74,090,275",,"70,602,493",
5. 무형자산,13,"8,008,653",,"2,901,476",
6. 순확정급여자산,16,"486,855",,"562,356",
7. 이연법인세자산,27,"547,176",,"654,456",
8. 기타비유동자산,6,"2,608,368",,"7,195,398",
자 산 총 계,,,"216,180,920",,"219,021,357"
부 채,,,,,
Ⅰ. 유 동 부 채,,,"36,237,164",,"43,145,053"
1. 매입채무,"6, 30","7,547,273",,"7,315,631",
2. 단기차입금,"6, 7, 14, 30","10,228,216",,"10,353,873",
3. 미지급금,"6, 30","9,142,890",,"8,385,752",
4. 선수금,19,"355,562",,"214,615",
5. 예수금,6,"383,450",,"572,702",
6. 미지급비용,"6, 19","5,359,291",,"6,129,837",
7. 당기법인세부채,,"788,846",,"7,925,887",
8. 유동성장기부채,"6, 14, 15, 30","153,942",,"5,440",
9. 충당부채,17,"2,042,039",,"2,135,314",
10. 기타유동부채,19,"235,655",,"106,002",
Ⅱ. 비 유 동 부 채,,,"2,073,509",,"2,888,179"
1. 사채,"6, 15, 30","39,520",,"43,516",
2. 장기차입금,"6, 14, 30","174,651",,-,
3. 장기미지급금,"6, 30","1,574,535",,"2,472,416",
4. 장기충당부채,17,"283,508",,"372,217",
5. 기타비유동부채,19,"1,295",,30,
부 채 총 계,,,"38,310,673",,"46,033,232"
자 본,,,,,
Ⅰ. 자본금,20,,"897,514",,"897,514"
1. 우선주자본금,,"119,467",,"119,467",
2. 보통주자본금,,"778,047",,"778,047",
Ⅱ. 주식발행초과금,,,"4,403,893",,"4,403,893"
Ⅲ. 이익잉여금,21,,"172,288,326",,"166,555,532"
Ⅳ. 기타자본항목,22,,"280,514",,"1,131,186"
자 본 총 계,,,"177,870,247",,"172,988,125"
부 채 와 자 본 총 계,,,"216,180,920",,"219,021,357"
