구 분,당기말,,,전기말,,
평가전금액,평가충당금(*),장부가액,평가전금액,평가충당금,장부가액,
제품 및 상품,"2,698,363","(1,053,757)","1,644,606","1,597,328","(77,409)","1,519,919"
반제품 및 재공품,"3,152,821","(188,311)","2,964,510","4,070,557","(226,609)","3,843,948"
원재료 및 저장품,"1,409,118","(398,894)","1,010,224","1,229,839","(189,989)","1,039,850"
미착품,"362,294",-,"362,294","174,395",-,"174,395"
계,"7,622,596","(1,640,962)","5,981,634","7,072,119","(494,007)","6,578,112"
