구 분,당기,전기
보통주 희석순이익,"10,149,221","10,681,618"
÷ 가중평균된 유통보통주식수와 희석성 잠재적보통주의 합산 주식수,"124,375","129,192"
희석 보통주 주당이익(단위: 원),"81,602","82,680"
