금융자산,상각후원가측정 금융자산,기타포괄손익-공정가치 측정 금융자산,당기손익-공정가치측정 금융자산,계
현금및현금성자산,"3,918,872",-,-,"3,918,872"
단기금융상품,"15,000,576",-,-,"15,000,576"
매출채권,"33,088,247",-,-,"33,088,247"
기타포괄손익-공정가치금융자산,-,"1,662,532",-,"1,662,532"
당기손익-공정가치금융자산,-,-,"2,135","2,135"
기타,"5,076,418",-,-,"5,076,418"
계,"57,084,113","1,662,532","2,135","58,748,780"
