구 분,,당기,전기
배당받을주식,보통주,"127,396,848주","130,204,596주"
우선주,"18,547,833주","19,722,484주",
배당률(액면가 기준),보통주,400%,390%
우선주,401%,391%,
배당금액,보통주,"2,547,937","2,538,990"
우선주,"371,884","385,574",
계,"2,919,821","2,924,564",
