구 분,발행일,만기상환일,연이자율(%),금 액,
당기말,당기말,전기말,,,
US$ denominated Straight Bonds(*),1997.10.02,2027.10.01,7.7,"35,565(US$ 30,000천)","38,080(US$ 35,000천)"
사채할인발행차금,,,,(707),(853)
계,,,,"34,858","37,227"
차감: 유동성사채,,,,"(5,810)","(5,318)"
비유동성사채,,,,"29,048","31,909"
