과 목,주석,제 46 (당) 기,,제 45 (전) 기,
Ⅰ. 영업활동 현금흐름,,,"18,653,817",,"28,443,058"
1. 영업에서 창출된 현금흐름,,"20,854,601",,"31,520,938",
가. 당기순이익,,"14,591,781",,"17,929,520",
나. 조정,31,"10,894,724",,"13,302,395",
다. 영업활동으로 인한 자산부채의 변동,31,"(4,631,904)",,"289,023",
2. 이자의 수취,,"854,946",,"441,659",
3. 이자의 지급,,"(91,827)",,"(65,476)",
4. 배당금 수입,,"1,505,107",,"711,925",
5. 법인세 납부액,,"(4,469,010)",,"(4,165,988)",
Ⅱ. 투자활동 현금흐름,,,"(15,951,220)",,"(27,325,848)"
1. 단기금융상품의 순감소(증가),,"2,709,251",,"(14,062,772)",
2. 단기매도가능금융자산의 순감소,,"435,813",,"33,633",
3. 장기매도가능금융자산의 처분,,"18,729",,"1,606,436",
4. 장기매도가능금융자산의 취득,,"(3,673,800)",,"(1,253,174)",
"5. 종속기업, 관계기업 및 공동기업 투자의 처분",,"21,411",,"57,779",
"6. 종속기업, 관계기업 및 공동기업 투자의 취득",,"(1,236,303)",,"(2,882,883)",
7. 유형자산의 처분,,"195,588",,"224,663",
8. 유형자산의 취득,,"(10,867,797)",,"(10,283,821)",
9. 무형자산의 처분,,"5,176",,917,
10. 무형자산의 취득,,"(1,254,109)",,"(748,080)",
11. 기타 투자활동으로 인한 현금유출액,,"(2,305,179)",,"(18,546)",
Ⅲ. 재무활동 현금흐름,,,"(3,089,586)",,"(1,356,325)"
1. 단기차입금의 순차입(상환),,"170,576",,"(178,713)",
2. 자기주식의 취득,,"(1,125,322)",,-,
3. 주식선택권의 행사로 인한 자기주식의 처분,,"27,582",,"34,390",
4. 사채의 상환,,"(5,274)",,"(5,356)",
5. 배당금의 지급,,"(2,157,148)",,"(1,206,646)",
Ⅳ. 현금및현금성자산의 감소(Ⅰ+Ⅱ+Ⅲ),,,"(386,989)",,"(239,115)"
Ⅴ. 기초의 현금및현금성자산,,,"2,030,307",,"2,269,422"
Ⅵ. 기말의 현금및현금성자산,,,"1,643,318",,"2,030,307"
