구 분,산업재산권,개발비,회원권,기타,계
기초장부금액,1195319.0,371392.0,194277.0,5241660.0,7002648.0
개별 취득,286963.0,0.0,4329.0,3610518.0,3901810.0
내부개발에 의한 취득,0.0,193708.0,0.0,0.0,193708.0
상각,-218754.0,-321608.0,0.0,-1851408.0,-2391770.0
처분ㆍ폐기,-42031.0,0.0,0.0,-557.0,-42588.0
손상(환입),0.0,0.0,-3471.0,0.0,-3471.0
기타,4744.0,-6582.0,0.0,-1043.0,-2881.0
기말장부금액,1226241.0,236910.0,195135.0,6999170.0,8657456.0
