구 분,당기말 | 수준 1,당기말 | 수준 2,당기말 | 수준 3,당기말 | 계
금융자산:,금융자산:,금융자산:,금융자산:,금융자산:
기타포괄손익-공정가치금융자산,1544320.0,0.0,118212.0,1662532.0
당기손익-공정가치금융자산,0.0,0.0,2135.0,2135.0
금융부채:,금융부채:,금융부채:,금융부채:,금융부채:
유동성사채,0.0,6276.0,0.0,6276.0
사채,0.0,35863.0,0.0,35863.0
