구 분,당기말 | 환율 상승시,당기말 | 환율 하락시,전기말 | 환율 상승시,전기말 | 환율 하락시
USD,119312.0,-119312.0,25761.0,-25761.0
EUR,-33776.0,33776.0,-22112.0,22112.0
INR,25057.0,-25057.0,21948.0,-21948.0
