구 분,CE 부문,IM 부문,DS 부문,계(*)
매출액,33729352.0,73506114.0,94373136.0,199744705.0
감가상각비,96931.0,206276.0,19457650.0,20164109.0
무형자산상각비,58754.0,1251306.0,891431.0,2391770.0
영업이익,-712563.0,7118710.0,25592201.0,31993162.0
