구 분,당기말 | 장부금액,당기말 | 공정가치,전기말 | 장부금액,전기말 | 공정가치
금융자산:,,금융자산:,,금융자산:
현금및현금성자산,3918872.0,(*1),989045.0,(*1)
단기금융상품,15000576.0,(*1),29101284.0,(*1)
매출채권,33088247.0,(*1),24736740.0,(*1)
기타포괄손익-공정가치금융자산,1662532.0,1662532,1539659.0,1539659
당기손익-공정가치금융자산,2135.0,2135,3107.0,3107
기타,5076418.0,(*1),4149950.0,(*1)
계,58748780.0,,60519785.0,
금융부채:,,금융부채:,,금융부채:
매입채무,11557441.0,(*1),6599025.0,(*1)
단기차입금,9204268.0,(*1),12520367.0,(*1)
미지급금,12948960.0,(*1),9671280.0,(*1)
유동성장기부채,139328.0,6276,87571.0,5318
- 유동성장기차입금,133518.0,(*2),82253.0,(*2)
- 유동성사채,5810.0,6276,5318.0,5318
사채,29048.0,35863,31909.0,36507
장기차입금,431915.0,(*2),150397.0,(*2)
장기미지급금,2335218.0,(*1),935038.0,(*1)
기타,3056156.0,(*1),3423251.0,(*1)
계,39702334.0,,33418838.0,
