구 분,당기말 | 평가전금액,당기말 | 평가충당금,당기말 | 장부금액,전기말 | 평가전금액,전기말 | 평가충당금,전기말 | 장부금액
제품 및 상품,3884713.0,-366987.0,3517726.0,2535410.0,-118007.0,2417403.0
반제품 및 재공품,9384285.0,-222291.0,9161994.0,8904968.0,-65773.0,8839195.0
원재료 및 저장품,3211380.0,-258464.0,2952916.0,2544706.0,-379326.0,2165380.0
미착품,340417.0,0.0,340417.0,409394.0,0.0,409394.0
계,16820795.0,-847742.0,15973053.0,14394478.0,-563106.0,13831372.0
