금융부채,상각후원가 측정 금융부채,기타금융부채(*),계
매입채무,6599025.0,0.0,6599025.0
단기차입금,0.0,12520367.0,12520367.0
미지급금,9671280.0,0.0,9671280.0
유동성장기부채,5318.0,82253.0,87571.0
사채,31909.0,0.0,31909.0
장기차입금,0.0,150397.0,150397.0
장기미지급금,935038.0,0.0,935038.0
기타,3423251.0,0.0,3423251.0
계,20665821.0,12753017.0,33418838.0
