금융자산,당기,전기
기초,130242.0,84536.0
매입,0.0,39239.0
매도,-912.0,-74.0
기타포괄손익으로 인식된 손익,2736.0,6541.0
기타,-11719.0,0.0
기말,120347.0,130242.0
