구 분,판매보증  (가),기술사용료  (나),장기성과급  (다),"기타 (라),(마)",계
기초,340818.0,1304018.0,567004.0,1223663.0,3435503.0
순전입(환입),464983.0,541054.0,186259.0,2481632.0,3673928.0
사용,-419088.0,-464463.0,-194281.0,-1025978.0,-2103810.0
기타,0.0,115916.0,0.0,182090.0,298006.0
기말,386713.0,1496525.0,558982.0,2861407.0,5303627.0
