계 정 과 목,누적일시적차이 | 기초잔액,누적일시적차이 | 증감액,누적일시적차이 | 기말잔액,이연법인세자산(부채) | 기초 이연법인세 자산(부채),이연법인세자산(부채) | 증감액,이연법인세자산(부채) | 기말 이연법인세 자산(부채)
1) 일시적차이로 인한 이연법인세:,,,,,,
토지재평가,-3417804.0,-3082.0,-3420886.0,-939896.0,-848.0,-940744.0
"종속기업, 관계기업 및 공동기업 투자(*1)",-3994444.0,0.0,-3994444.0,-909018.0,0.0,-909018.0
감가상각누계액 등,108447.0,-622550.0,-514103.0,29823.0,-171202.0,-141379.0
미수수익,-155013.0,42203.0,-112810.0,-42628.0,11605.0,-31023.0
충당부채 및 미지급비용 등,7244548.0,2296196.0,9540744.0,1992251.0,631453.0,2623704.0
외화평가조정,-124453.0,72498.0,-51955.0,-34224.0,19936.0,-14288.0
자산손상,1611087.0,133764.0,1744851.0,443049.0,-43781.0,399268.0
퇴직급여,-2702738.0,-1520620.0,-4223358.0,-743253.0,-418171.0,-1161424.0
분할 시 투자주식 평가증(*2),10586822.0,0.0,10586822.0,0.0,0.0,0.0
기타,466776.0,572186.0,1038962.0,-58136.0,173189.0,115053.0
소 계,9623228.0,970595.0,10593823.0,-262032.0,202181.0,-59851.0
2) 세액공제로 인한 이연법인세:,,,,,,
세액공제이월액,247870.0,34672.0,282542.0,247869.0,34673.0,282542.0
3) 자본에 직접 가감하는 이연법인세:,,,,,,
기타포괄손익-공정가치금융자산평가손익 등,-134131.0,-128622.0,-262753.0,-36886.0,-35371.0,-72257.0
순확정급여부채(자산) 재측정요소,2175363.0,886277.0,3061640.0,598225.0,243726.0,841951.0
소 계,2041232.0,757655.0,2798887.0,561339.0,208355.0,769694.0
이연법인세자산(부채) 계,,,,547176.0,445209.0,992385.0
