지역,기업명,업종,지분율 (%)(*)
유럽ㆍ CIS,Samsung Electronics (UK) Ltd. (SEUK),전자제품 판매,100.0
유럽ㆍ CIS,Samsung Electronics Ltd. (SEL),해외자회사 관리,100.0
유럽ㆍ CIS,Samsung Semiconductor Europe Limited (SSEL),반도체ㆍDP 판매,100.0
유럽ㆍ CIS,Samsung Electronics GmbH (SEG),전자제품 판매,100.0
유럽ㆍ CIS,Samsung Electronics Holding GmbH (SEHG),해외자회사 관리,100.0
유럽ㆍ CIS,Samsung Semiconductor Europe GmbH (SSEG),반도체ㆍDP 판매,100.0
유럽ㆍ CIS,Samsung Electronics France S.A.S (SEF),전자제품 판매,100.0
유럽ㆍ CIS,Samsung Electronics Italia S.P.A. (SEI),전자제품 판매,100.0
유럽ㆍ CIS,"Samsung Electronics Iberia, S.A. (SESA)",전자제품 판매,100.0
유럽ㆍ CIS,"Samsung Electronics Portuguesa, Unipessoal, Lda. (SEP)",전자제품 판매,100.0
유럽ㆍ CIS,"Samsung Electronics Hungarian Private Co., Ltd. (SEH)",전자제품 생산 및 판매,100.0
유럽ㆍ CIS,Samsung Electronics Europe Logistics B.V. (SELS),물류,100.0
유럽ㆍ CIS,Samsung Electronics Benelux B.V. (SEBN),전자제품 판매,100.0
유럽ㆍ CIS,Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),해외자회사 관리,100.0
유럽ㆍ CIS,Samsung Electronics Nordic Aktiebolag (SENA),전자제품 판매,100.0
유럽ㆍ CIS,Samsung Electronics Slovakia s.r.o. (SESK),TVㆍ모니터 생산,100.0
유럽ㆍ CIS,Samsung Display Slovakia s.r.o. (SDSK),DP 임가공,100.0
유럽ㆍ CIS,"Samsung Electronics Polska, SP.Zo.o (SEPOL)",전자제품 판매,100.0
유럽ㆍ CIS,Samsung Electronics Poland Manufacturing SP.Zo.o (SEPM),가전제품 생산,100.0
유럽ㆍ CIS,Samsung Electronics Romania LLC (SEROM),전자제품 판매,100.0
유럽ㆍ CIS,Samsung Electronics Austria GmbH (SEAG),전자제품 판매,100.0
유럽ㆍ CIS,Samsung Electronics Switzerland GmbH (SESG),전자제품 판매,100.0
유럽ㆍ CIS,Samsung Electronics Czech and Slovak s.r.o. (SECZ),전자제품 판매,100.0
유럽ㆍ CIS,Samsung Electronics Baltics SIA (SEB),전자제품 판매,100.0
유럽ㆍ CIS,Samsung Electronics Greece S.M.S.A (SEGR),전자제품 판매,100.0
유럽ㆍ CIS,Samsung Electronics Air Conditioner Europe B.V. (SEACE),에어컨공조 판매,100.0
유럽ㆍ CIS,Samsung Nanoradio Design Center (SNDC),R&D,100.0
유럽ㆍ CIS,Samsung Denmark Research Center ApS (SDRC),R&D,100.0
유럽ㆍ CIS,Samsung Cambridge Solution Centre Limited (SCSC),R&D,100.0
유럽ㆍ CIS,"Zhilabs, S.L.","네트워크Solution 개발, 판매",100.0
유럽ㆍ CIS,Foodient Ltd.,R&D,100.0
유럽ㆍ CIS,Samsung Electronics Rus Company LLC (SERC),전자제품 판매,100.0
유럽ㆍ CIS,Samsung Electronics Rus Kaluga LLC (SERK),TV 생산,100.0
유럽ㆍ CIS,Samsung Electronics Ukraine Company LLC (SEUC),전자제품 판매,100.0
유럽ㆍ CIS,Samsung Electronics Central Eurasia LLP (SECE),전자제품 판매,100.0
유럽ㆍ CIS,Samsung Electronics Overseas B.V. (SEO),전자제품 판매,100.0
유럽ㆍ CIS,Samsung R&D Institute Rus LLC (SRR),R&D,100.0
유럽ㆍ CIS,"Samsung Electronics Caucasus Co., Ltd (SECC)",마케팅,100.0
