해외종속기업,보증처,보증종료일,당기말 | 관련 차입금,당기말 | 채무보증한도
SETK,BNP 외,2022-12-16,121244.0,956699.0
SETK-P,BNP 외,2022-12-16,39516.0,154115.0
SEIL,Citibank,2022-12-16,12978.0,18494.0
기타,기타,-,0.0,8669206.0
계,,,,
